ID,Nome,PopTot,Superficie,NUT
1502,ALCOCHETE,19395,128,REGIAO DE LISBOA
1503,ALMADA,169070,70,REGIAO DE LISBOA
1504,BARREIRO,75567,36,REGIAO DE LISBOA
1505,GRANDOLA,14598,826,ALENTEJO
1506,MOITA,64571,55,REGIAO DE LISBOA
1507,MONTIJO,56596,349,REGIAO DE LISBOA
1508,PALMELA,64222,465,REGIAO DE LISBOA
1509,SANTIAGO DO CACEM,28809,1060,ALENTEJO
1510,SEIXAL,166403,95,REGIAO DE LISBOA
1511,SESIMBRA,51421,196,REGIAO DE LISBOA
1512,SETUBAL,116044,230,REGIAO DE LISBOA
1513,SINES,13647,203,ALENTEJO
1601,ARCOS DE VALDEVEZ,21057,448,REGIAO DO NORTE
1602,CAMINHA,15885,137,REGIAO DO NORTE
1603,MELGACO,8197,238,REGIAO DO NORTE
1604,MONCAO,17972,211,REGIAO DO NORTE
1605,PAREDES DE COURA,8589,138,REGIAO DO NORTE
1606,PONTE DA BARCA,11249,182,REGIAO DO NORTE
1607,PONTE DE LIMA,41612,320,REGIAO DO NORTE
1608,VALENCA,13312,117,REGIAO DO NORTE
1609,VIANA DO CASTELO,84827,319,REGIAO DO NORTE
1610,VILA NOVA DE CERVEIRA,8868,108,REGIAO DO NORTE
1701,ALIJO,10755,298,REGIAO DO NORTE
1702,BOTICAS,5099,322,REGIAO DO NORTE
1703,CHAVES,39423,591,REGIAO DO NORTE
1704,MESAO FRIO,4007,27,REGIAO DO NORTE
1705,MONDIM DE BASTO,6999,172,REGIAO DO NORTE
1706,MONTALEGRE,9156,805,REGIAO DO NORTE
1707,MURCA,5497,189,REGIAO DO NORTE
1708,PESO DA REGUA,15879,95,REGIAO DO NORTE
1709,RIBEIRA DE PENA,6060,217,REGIAO DO NORTE
1710,SABROSA,5928,157,REGIAO DO NORTE
1711,SANTA MARTA DE PENAGUIAO,6677,69,REGIAO DO NORTE
1712,VALPACOS,15022,549,REGIAO DO NORTE
1713,VILA POUCA DE AGUIAR,12053,437,REGIAO DO NORTE
1714,VILA REAL,49910,379,REGIAO DO NORTE
1801,ARMAMAR,5815,117,REGIAO DO NORTE
1802,CARREGAL DO SAL,9329,117,REGIAO DO CENTRO
1803,CASTRO DAIRE,14044,379,REGIAO DO CENTRO
1804,CINFAES,18562,239,REGIAO DO NORTE
1805,LAMEGO,25025,165,REGIAO DO NORTE
1806,MANGUALDE,18723,219,REGIAO DO CENTRO
1807,MOIMENTA DA BEIRA,9737,220,REGIAO DO NORTE
1808,MORTAGUA,8902,251,REGIAO DO CENTRO
1809,NELAS,13116,126,REGIAO DO CENTRO
1810,OLIVEIRA DE FRADES,9938,145,REGIAO DO CENTRO
1811,PENALVA DO CASTELO,7229,134,REGIAO DO CENTRO
1812,PENEDONO,2627,134,REGIAO DO NORTE
1813,RESENDE,10304,123,REGIAO DO NORTE
1814,SANTA COMBA DAO,10573,112,REGIAO DO CENTRO
